location_id,street_address,city,state,postal_code,restaurant
HD-102,3783 E Highway 18,Blytheville,AR,72315,HD
HD-103,2201 NORTH 2ND STREET,CABOT,AR,72023,HD
HD-104,2500 CLARK RD,CLARKSVILLE,AR,72830,HD
HD-105,1055 Dave Ward Dr,Conway,AR,72034,HD
HD-106,2720 Rogers Ave,Fort Smith,AR,72901,HD
HD-107,1820 Phoenix Av,Fort Smith,AR,72901,HD
HD-108,1331 RED WOLF BLVD,JONESBORO,AR,72401,HD
HD-109,11700 INTERSTATE 30,LITTLE ROCK,AR,72210,HD
HD-110,500 E North St,Mountain Home,AR,72653,HD
HD-111,604 Ne Main,Mountain View,AR,72560,HD
HD-112,1700 MALCOLM,NEWPORT,AR,72112,HD
HD-113,4901 JOHN F KENNEDY BLVD,NORTH LITTLE ROCK,AR,72116,HD
HD-114,301 LINWOOD,PARAGOULD,AR,72450,HD
HD-115,950 EAST MAIN,PIGGOTT,AR,72454,HD
HD-116,116 Ron Harrod Rd,Prescott,AR,71857,HD
HD-117,3095 E Main St,Russellville,AR,72802,HD
HD-118,2997 E RACE AVE,SEARCY,AR,72143,HD
HD-119,2505 QUEENSWAY ST,SEARCY,AR,72143,HD
HD-120,201 N ROCK ST,SHERIDAN,AR,72150,HD
HD-121,1801 Pulaski Hwy,Bear,DE,19701,HD
HD-122,519 S Bay Rd,Dover,DE,19901,HD
HD-123,50 Greentree Dr,Dover,DE,19904,HD
HD-124,20598 Dupont Blvd,Georgetown,DE,19947,HD
HD-125,7237 Milford Harrington Hwy,Harrington,DE,19952,HD
HD-126,30759 Sussex Hwy,Laurel,DE,19956,HD
HD-127,340 Dove Run Dr,Middletown,DE,19709,HD
HD-128,698 N Dupont Blvd,Milford,DE,19963,HD
HD-129,28552 Dupont Blvd,Millsboro,DE,19966,HD
HD-130,328 W Stein Hwy,Seaford,DE,19973,HD
HD-131,100 Jimmy Dr,Smyrna,DE,19977,HD
HD-132,451 Altamonte Dr.,Altamonte Springs,FL,32701,HD
HD-133,126 Magnolia Ave,Auburndale,FL,33823,HD
HD-134,300 E Van Fleet Drive,Bartow,FL,33830,HD
HD-135,5741 Se Abshier Blvd,Belleview,FL,34420,HD
HD-136,2111 S Waukesha St,Bonifay,FL,32425,HD
HD-137,404 Hwy 27,Branford,FL,32008,HD
HD-138,399 N. Hathaway Ave.,Bronson,FL,32621,HD
HD-139,1685 W Jefferson St,Brooksville,FL,34601,HD
HD-140,542309 Us Hwy 1,Callahan,FL,32011,HD
HD-141,651 West Washington St,Chattahoochee,FL,32324,HD
HD-142,1024 N Young Blvd,Chiefland,FL,32626,HD
HD-143,1212 Main St,Chipley,FL,32428,HD
HD-144,2994 Crawfordville Hwy,Crawfordville,FL,32327,HD
HD-145,15909 Se 19 Hwy,Cross City,FL,32628,HD
HD-146,16 Ne Highway 19,Crystal River,FL,34429,HD
HD-147,39837 Us Hwy 27,Davenport,FL,33837,HD
HD-148,1098 W International Speedway Blvd,Deland,FL,32720,HD
HD-149,400 Welcome Center Drive,Deltona,FL,32725,HD
HD-150,28199 Hwy 27,Dundee,FL,33838,HD
HD-151,11582 Williams St,Dunnellon,FL,34432,HD
HD-152,241 US Hwy 17 S,East Palatka,FL,32131,HD
HD-153,13700 Us Hwy 441,Ellisville,FL,32025,HD
HD-154,4900 Palm Beach Blvd,Fort Myers,FL,33905,HD
HD-155,200 S Kings Hwy,Fort Pierce,FL,34945,HD
HD-156,822 Beal Pkwy Nw,Fort Walton Beach,FL,32547,HD
HD-157,5425 Cotton St,Graceville,FL,32440,HD
HD-158,1323 N Orange Ave,Green Cove Springs,FL,32043,HD
HD-159,266 W Broad St,Groveland,FL,34736,HD
HD-160,19143 Nw Us Hwy 441,High Springs,FL,32643,HD
HD-161,3960 S Suncoast Blvd,Homosassa,FL,34448,HD
HD-162,873 Lane Ave S,Jacksonville,FL,32205,HD
HD-163,9210 Baymeadows Rd,Jacksonville,FL,32256,HD
HD-164,498 Busch Dr,Jacksonville,FL,32218,HD
HD-165,6852 Wilson Ave,Jacksonville,FL,32210,HD
HD-166,6914 Norwood Avenue,Jacksonville,FL,32208,HD
HD-167,8040 Normandy Blvd,Jacksonville,FL,32221,HD
HD-168,9111 Merrill Road,Jacksonville,FL,32225,HD
HD-169,12771 Atlantic Blvd,Jacksonville,FL,32225,HD
HD-170,6680 Commonwealth Ave,Jacksonville,FL,32254,HD
HD-171,11191 San Jose Blvd,Jacksonville,FL,32223,HD
HD-172,675 Nautica Dr,Jacksonville,FL,32218,HD
HD-173,1616 US Highway 41 NW,Jasper,FL,32052,HD
HD-174,7401 State Rd 21,Keystone Heights,FL,32656,HD
HD-175,504 W. Vine St.,Kissimmee,FL,34741,HD
HD-176,342 Shinn Blvd,Lake Alfred,FL,33850,HD
HD-177,1205 E Main Street,Lake Butler,FL,32054,HD
HD-178,279 W Duval St,Lake City,FL,32055,HD
HD-179,2609 W Us Highway 90,Lake City,FL,32055,HD
HD-180,2399 SE Baya Dr,Lake City,FL,32025,HD
HD-181,2050 W Memorial Blvd,Lakeland,FL,33815,HD
HD-182,43 E C 470,Lake Panasoffkee,FL,33538,HD
HD-183,24 Pafford RD,Lamont,FL,32336,HD
HD-184,802 S 14Th St,Leesburg,FL,34748,HD
HD-185,608 Ohio Ave S,Live Oak,FL,32064,HD
HD-186,1490 S 6th St,Macclenny,FL,32063,HD
HD-187,4652 E Highway 90,Marianna,FL,32446,HD
HD-188,3992 S Babcock St,Melbourne,FL,32901,HD
HD-189,2730 Blanding Blvd,Middleburg,FL,32068,HD
HD-190,6527 Hwy 90,Milton,FL,32570,HD
HD-191,4440 Hwy. 46,Mims,FL,32754,HD
HD-192,810 N Us Hwy 27,Minneola,FL,34715,HD
